genre,description,year,ancestor
Bandana thrash,Musical subgenre,1998,thrashcore
Bandari music,music genre,,music of Iran
Bangla Adhunik Gaan,Bengali music genre,,
Bangladeshi classical music,music genre,,Hindustani classical music
Bangladeshi heavy metal,music genre or scene,,heavy metal music
Bangladeshi hip hop,music genre and scene,,music of Bangladesh
Bangladeshi rock,rock music of Bangladesh,,rock music
Bango,music genre,,music of Kenya
Bangsawan,Indonesian traditional folk theatre of Malay,,folk play
Bantowbol,Style of music from Cameroon,,
Bantu music,music genre,,
Baoulé music,music genre,,music of West Africa
Baroque music,style of Western classical music,1600,classical music
Baroque suite,"varied dance pieces, usually in the same key, structured on the music of European courtly dances",,suite
Barzelletta,popular verse form used by frottola composers in Italy in the fifteenth and sixteenth centuries,,stanza
Basesa,Malagasy traditional musique,,music of Madagascar
Bashkir folk music,music genre,,music of Bashkortostan
Bashkir folk song,music genre,,traditional folk song
Bashkir song,music genre,,song
Basque ballad,"short compositions in verse of a narrative nature, in most cases set to music, which flourished between the 14th and 19th centuries",,Basque literature
Basque folk music,music genre,,Basque music
Basque music,music of the Basque region and people,,music of France
Basque radical rock,music genre,,punk rock
Basque rock,music genre or scene,,rock music
Bassi,music genre,,Croatian folk music
Bastlösreime,music genre,,nursery rhyme
Batak music,music genre,,music of Indonesia
Batrelaky,Music style,,Malagasy folk music
Batuque de Umbigada,music genre and type of dance,,dance
Batá-rumba,music genre,1957,Cuban rumba
Bavarian polka,music genre and type of dance,,Austrian folk dance
Bay Area thrash metal,music genre or scene,1985,thrash metal
Bayat-e Esfahan,music genre,,Persian traditional music
Beat poetry,poetry by a Beat generation author,,poetry
Bedouin music,music of nomadic Bedouin Arab tribes,,Arabic music
Beiguan,traditional music of China,,Chinese traditional music
Being-kei,music genre,,music of Japan
Beja music,music genre,,music of Northeast Africa
Belarusian folk music,music of ethnic Belarusians,,music of Belarus
Belarusian hip hop,music genre and scene,,music of Belarus
Belarusian rock music,music genre or scene,,rock music
Belgian hardcore techno,music genre,1990,techno
Belgian hip hop,music genre or scene,,music of Belgium
Belgian jazz,music genre and scene,,jazz
Belgian rock,music genre or scene,,rock music
Belpop,music genre,,music of Belgium
Beluk,Sundanese art genre,,vocal music
Beneventan chant,liturgical plainchant repertory of the Roman Catholic Church,700,music of Italy
Bengali folk music,music genre,,music of West Bengal
Beninese hip hop,music genre or scene,,African hip-hop
Bentonia School,music genre and performance technique,,Delta blues
Berber music,musical culture of the Berber ethnic groups of North Africa,,music of North Africa
Berlin School of electronic music,music genre or scene,1974,progressive electronic music
Berlin techno,music genre or scene,,techno
Bernese dialect scene,music scene,,music of Switzerland
Bertitik,bajau traditional musical ensemble,,
Beste,musical concept,,fasıl
Bhatiali,Folk song of Bengal,,music of Bengal
Bhojpuri folk music,music genre,,Bhojpuri music
Bhojpuri music,overview of music traditions in Bhojpuri Language,,
Bhojpuri pop,music genre,,Indian pop
Bhutanese folk music,music genre,,music of Bhutan
Big Drum,instrument,,music of the Caribbean
Bigwala,"cultural practice of the Basoga people of Uganda, performed during royal celebrations",,Ugandan folk dance
Bilbainada,music genre,,
Birmingham sound,music genre,1993,industrial techno
BisRock,music genre,,Pinoy rock
Biscayan jota,music genre and type of dance,,jota
Black Rio,Afro-Brazilian soul- and funk-oriented countercultural movement,1976,Afro-Brazilian music
Boeremusiek,type of South African instrumental folk music; originally an accompaniment to social dancing at parties and festivals,,music of South Africa
Boheoja,Korean court music,,Korean court music
Bolel,music genre,,
Bolero son,Subgenre of the Cuban bolero,,son cubano
Bolivian huayño,music genre,,huayno
Bollywood film music,songs featuring in Bollywood films,,Indian film music
Bongai,traditional Minangkabau musical ensemble originally from West Sumatra,,
Borankana,traditional music in Botswana,,music of Botswana
Bordun music,music genre,,traditional folk music
Borgeet,Devotional song composed by Srimanta Sankardeva and Madhavdeva,1500,
Boria,music genre and type of dance,,
Borrohite,singing style of sad folk songs,,singing
Bosnian and Herzegovinian folk music,music genre,,music of Bosnia and Herzegovina
Bosnian and Herzegovinian hip hop,music genre or scene,,music of Bosnia and Herzegovina
Bosnian and Herzegovinian rock,music genre or scene,1965,rock music
Bosnian root music,music genre,,polyphony
Bosstown Sound,music genre or scene,,psychedelic rock
Boston hardcore,music genre or scene,,music of Massachusetts
Bothy band,music genre; musical group which comes from the farming culture of nineteenth century Scotland,,
Bouyon soca,Music genre,2000,soca music
Bozlak,music genre,,
Brasília hip hop,music genre or scene,,Brazilian hip-hop
Bravura,style of music intended to show off the skill of a performer,,
Bravú,Galician rock musical movement,,rock music
Brazilian Christian rock,music genre or scene,,Christian rock
Brazilian bass,subgenre of house music,2012,house music
Brazilian classical music,music genre,,music of Brazil
Brazilian colonial music,music from the Brazilian colonial period,,music of Brazil
Brazilian folk music,traditional folk music of Brazilian people,,music of Brazil
Brazilian funk,"group of Brazilian musical genres, including its origins as funk carioca, as well as its many subgenres and derivatives",1989,music of Brazil
Brazilian gaucho music,music genre,,music of Brazil
Brazilian hip-hop,music genre or scene,,music of Brazil
Brazilian indigenous music,music genre,,indigenous American folk music
Brazilian jazz,music genre and scene,,jazz
Brazilian phonk,music genre,,funk mandelão
Brazilian punk rock,Punk scene in Brazil,,punk rock
Brazilian rap geek,music genre,,nerdcore
Brazilian reggae,music genre or scene,,reggae
Brazilian rock,rock music made in or associated with Brazil,,rock music
Brazilian thrash metal,music genre or scene,,thrash metal
Breton Celtic folk music,music genre,,Celtic folk music
Breton folk music,music genre,,music of Brittany
Breton hymn,popular hymns in Breton,,canticle
Breton rock,music genre or scene,,music of Brittany
Breton song,music genre in Brittany,,song
Brill Building,pop genre that originated in New York in the 1960s,,pop music
Brisbane punk rock,history of punk rock in the Australian city,,punk rock
Brit funk,music genre,,funk
Britcore,music genre,1988,hardcore hip-hop
British Black music,music of the African diaspora,,music of the United Kingdom
British Invasion,"cultural phenomenon of the mid-1960s, when rock and pop music acts from the United Kingdom and other aspects of British culture became popular in the United States",,pop music
British blues,derivative form of American blues,1958,electric blues
British brass band music,music genre,,music of the United Kingdom
British dance band,music genre,1921,jazz
British folk music,music genre,,music of the United Kingdom
British folk rock,form of folk rock pioneered in England,1968,folk rock
British jazz,music genre or scene,,jazz
British metal music,music genre and scene,,music of the United Kingdom
British pop,"popular music, produced commercially in the United Kingdom",,pop music
British psychedelic music,music genre or scene,,music of the United Kingdom
British punk,music genre or scene,,punk rock
British rhythm and blues,Musical movement in the United Kingdom,1963,rock music
British rock,rock music made in or associated with the United Kingdom,1960,rock music
British rock and roll,music genre or scene,,rock and roll
British soul,music genre or scene,,soul
British trad rock,music genre,,British rock
Britpop,music genre; 1990s UK pop culture movement,1991,alternative rock
Britpop revival,music genre,,Britpop
Broadway music,musical style associated with Broadway musicals,1870,musical theater
Bronx drill,music or scene,2010,East Coast hip-hop
Brooklyn drill,subgenre of hip-hop,,music of New York City
Bubu music,traditional style of music from Sierra Leone,,African folk music
Buddhist chant,music genre,,Buddhist music
Buddhist metal,music genre,,heavy metal music
Buddhist music,music genre,,religious music
Buenos Aires hardcore,music genre or scene,,hardcore punk
Buganda royal court music,music genre,,art music
Bugarštica,"folk music genre; form of epic and ballad oral poetry, popular among South Slavs mainly in Dalmatia and Bay of Kotor from 15th until the 18th century",,ballad
Bulawayo jazz,music genre,,jazz
Bulgarian folk music,music genre,,music of Bulgaria
Bulgarian folk song,music genre,,Bulgarian folk music
Bulgarian hip hop,music genre or scene,,music of Bulgaria
Bulgarian jazz,music genre or scene,,jazz
Bulgarian rock music,music genre or scene,,music of Bulgaria
Bulgarian wedding music,music genre,,music of Bulgaria
Burban,musical subculture,2011,hip-hop
Burmese classical music,music genre,,music of Myanmar
Burmese hip hop,music genre and scene,,music of Myanmar
Burmese mono,Burmese music genre,,music of Myanmar
Burmese stereo,Burmese music genre,,pop rock
Burra katha,oral storytelling technique in the Katha tradition,,Telugu folk music
Burushaski folk music,music genre,,Pakistani folk music
Buryat folk music,music genre,,music of Buryatia
Byzantine chant,music genre,,Byzantine music
Byzantine music,music in the tradition of the Byzantine Empire,,ancient music
Böhmerwaldlieder,music genre,,Lied
Büchel music,Tirol instrumental music,,
C-pop,"music genre by artists originating from mainland China, Hong Kong, and Taiwan",,A-pop
C86,music genre,1982,indie pop
Ca Huế,form of classical Vietnamese music,,
Ca din tulnic,music genre,,
Cachi Cachi music,Music played by Puerto Ricans after their migration to Hawaii,,
Cajun fiddle,music genre,,
Cajun music,music of Cajun Louisiana is rooted in ballads of French-speaking Canadians,1790,music of Louisiana
Caledonian rap,music genre or scene,,hip-hop
California Sound,popular music aesthetic originating in the early 1960s,,
Calinda,"martial art, folk music and war dance in the Caribbean",,war dance
Calypso War,music genre,,
Calypso-style baila,Sri Lankan music genre,,
Cambodian classical music,music genre,,Southeast Asian classical music
Cambodian pop,music genre or scene of Cambodia,,pop music
Cambodian rock,music genre or scene,,rock music
Campirano,Regional Mexican music campirano style,,regional Mexican
Canadian Celtic music,music genre and scene,,Celtic music
Canadian Latin music,music genre and scene,,music of Canada
Canadian blues,music genre or scene,,blues
Canadian country music,music genre or scene,,country music
Canadian folk music,music genre or scene,,music of Canada
Canadian hardcore punk,music genre or scene,,hardcore punk
Canadian heavy metal,music genre or scene,,heavy metal music
Canadian hip-hop,music genre or scene,,hip-hop
Canadian jazz,music genre or scene,,jazz
Canadian maritime folk,music genre,,music of the Maritimes
Canadian punk rock,music genre or scene,,punk rock
Canadian rock,Canadian appreciation of and contributions to the rock music genre,,rock music
Canarian folk music,music genre,,music of the Canary Islands
Canción mexicana,music genre,,song
Candlemas singing in southern Lower Austria,"social practice in Lower Austria, inscribed in the Unesco ICH Austrian inventory in 2018",,processional rite song
Candombe beat,Uruguayan music genre,1968,rock music
Cantabrian folk music,music genre,,Northwest Iberian folk music
Canterbury scene,music genre and scene,1968,progressive rock
Canto livre,music genre,,
Cantu a vatoccu,"polyvocal form of the oral tradition of Umbria and Marche, in two non-parallel voices, substantially homorhythmic, in discanto, characterized by the presence of intervals of second, augmented fourth, sixth, and minor seventh",,work song
Caoine,music genre,,elegy
Cape Breton fiddling,"regional violin style from Cape Breton, Nova Scotia, Canada, originating from Gaelic-speaking immigrants from the Scottish Highlands and the Outer Hebrides during the Highland Clearances",,Cape Breton folk music
Cape Breton folk music,music genre,,Celtic folk music
Carballesa,music genre and type of dance,,dance
Caribbean folk music,music genre,,traditional folk music
Carnatic music,music genre originating in southern India,1100,Indian classical music
Carnatic vocal music,music genre,,vocal music
Carpathian plainchant,kind of Church chant in Byzantine rite,1906,church music
Cascadian black metal,music genre or scene,,music of Canada
Castilian jotas,music genre and type of dance,,jota
Catalan flamenco,music genre and type of dance,,flamenco
Catalan popular folk music,music genre,,popular folk music
Catalan rock,music genre or scene,,rock music
Catalan rumba,music genre and type of dance,1940,music of Catalonia
Catalan traditional folk music,music genre,,music of Catalonia
Catholic Christian rock,music genre,,Christian rock
Catholic hymn,Christian hymn used in Catholic services,,Christian hymn
Catholic music,music genre,,Christian music
Caucasian folk music,music genre,,traditional folk music
Cavalier song,music genre,,
Celempungan,Sundanese musical genre,,
Celtic chant,music genre,,Celtic music
Celtic electronica,music genre,1987,Celtic music
Celtic folk music,music genre,,Celtic music
Celtic fusion,music genre,1970,Celtic music
Celtic metal,Musical genre,1994,folk metal
Celtic music,music genre,,music of Europe
Celtic new age,music genre,,new age music
Celtic pop,music genre,,pop music
Celtic punk,punk rock mixed with traditional Celtic music,1984,punk rock
Celtic rock,subgenre of rock music influenced by Celtic folk music,1972,folk rock
Central Asian throat singing,music genre,,throat singing
Ceol Meadhonach,music genre,,
Ceòl Beag,music genre,,
Cha-wave,popular music in Chakavian,,
Chabad niggunim,niggunim (melodies) of the Chabad-Lubavitch movement within Hasidic Judaism,,Hasidic music
Chaiti,genre of Bhojpuri folk music,,Bhojpuri folk music
Chamrieng Samai,music genre,,
Changgeuk,Genre of Korean opera,,
Chanson pour boire,music genre,1627,
Chanté mas,music genre,,
Chaoui music,music genre,,
Charanga-vallenata,music genre,1980,
Chazezesa Challengers,music genre,,Jit
Chechen folk music,music genre,,Caucasian folk music
Chicago blues,"form of blues music indigenous to Chicago, Illinois",1920,blues
Chicago drill,music genre,2010,drill
Chicago hard house,music genre,1995,house music
Chicago hardcore,music genre or scene,1981,hardcore punk
Chicago hip-hop,music genre or scene,,American hip-hop
Chicago house,music genre,1981,house music
Chicago jazz,music genre,,New Orleans jazz
Chicago polka,music genre,,music of Poland
Chicago post-rock,post-rock music genre or scene,,post-rock
Chicago soul,music genre,1962,soul
Chicano protest music,type of Mexican American music,,protest song
Chicano punk,genre of Chicano rock,,rock music
Chicano rap,music genre,1990,gangsta rap
Chicano rock,music genre; rock music performed by Mexican American groups or music with themes derived from Chicano culture,,rock music
Chicken scratch,American Indigenous dance music,,O'odham music
Chikuzen biwa,music genre,,katarimono
Chilean cueca,music genre and type of dance,,cueca
Chilean cumbia,musical genre originating from Chile,,cumbia
Chilean electronic music,electronic music genre,,electronic music
Chilean folk music,music genre,,music of Chile
Chilean hip-hop,music genre or scene,,hip-hop
Chilean rock,Rock Music made in Chile or by chileans,1958,rock music
Chinese alternative music,music genre or scene,,music of China
Chinese classical music,music genre,,East Asian classical music
Chinese folk flute music,music genre,,Chinese traditional music
Chinese heavy metal,music genre or scene,,heavy metal music
Chinese hip hop,music genre or scene,1995,Chinese modern music
Chinese literati music,music genre,,Chinese classical music
Chinese new year songs,music genre,,music of China
Chinese orchestral music,music genre,,music of China
Chinese rock,music genre or scene,,rock music
Chinese traditional music,music genre,,music of China
Chinese yellow music,music genre,,music of China
Chorale concerto,music genre,,composed musical work
Chorale motet,music genre,,motet
Chouval bwa,music genre,,Caribbean folk music
Chrieng Brunh,music genre,,
Christian R&B,music genre,,rhythm and blues
Christian adult contemporary,music genre,,Christian music
Christian alternative rock,alternative rock music music lyrically grounded in a Christian worldview,1982,alternative rock
Christian country music,"music genre, country music with Christian message",,gospel music
Christian death metal,music genre,,death metal
Christian electronic dance music,music genre,,electronic dance music
Christian hardcore,music genre,1992,hardcore punk
Christian hip-hop,cross-genre of contemporary Christian music and hip-hop music,1985,hip-hop
Christian hymn,type of Christian song specifically written for the purpose of adoration or prayer,,practical poetry
Christian metal,genre of heavy metal music with Christian themes,1985,heavy metal music
Christian music,music expressing Christian life and faith,,religious music
Christian pop,music genre,,pop music
Christian punk,subgenre of punk rock,1985,punk rock
Christian rock,rock music with lyrics related to Jesus and Christianity,1968,rock music
Christian ska,music genre,,Christian alternative rock
Christmas cantata,cantata intended to be performed for Christmas,,cantata
Christmas carol,type of traditional Christmas song,,carol
Christmas children's music,music genre,,Christmas music
Christmas country music,music genre,,country music
Christmas hymn,seasonal Christian hymn intended for Advent,,Christian hymn
Christmas music,music associated with Christmas,,holiday music
Christmas pop,music genre,,pop music
Christmas religious music,music genre,,religious music
Christmas rock music,music genre,,rock music
Christmas villancicos and coplas,"designation of intangible heritage of Jerez de la Frontera, Spain",,Christmas carol
Christmas-themed song,song intended to be performed for the Christmas and holiday season,,song
Chromatic fantasia,music genre,1590,
Chukchi folk music,music genre,,traditional folk music
Chula (Bahia),music genre,,
Chumba,music genre and type of dance,,
Chutney parang,music genre,,
Chuvash folk music,music genre,,Chuvash music
Chuvash music,music of Chuvash ethnic group,,music of Russia
Chầu văn,music genre,1870,
Ciranda,music genre and type of dance,,coco
Circassian folk music,music genre,,Circassian music
Circassian music,music genre,,music of the Caucasus
